code,treatment,pipelines,rows,amount,send_amount,receive_amount,description,reason
24K,outflow,send only,160879,772105473.0,206703030.0,274687197.0,Contribution made to nonaffiliated committee,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
24G,outflow,send only,13623,643749826.0,45229479.0,0.0,Transfer out to affiliated committee,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
20C,outflow,send only,1020,59532524.0,0.0,5928411.0,Loan repayment made to candidate,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
20F,outflow,send only,7,17750000.0,0.0,0.0,Loan repayment made to banks,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
22Z,outflow,send only,1988,5443019.0,-7930.0,0.0,Contribution refund to candidate or committee,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
24Z,outflow,send only,680,4719502.0,64945.0,470833.0,In-kind contribution made to registered filer,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
20G,outflow,send only,28,1000245.0,0.0,0.0,Loan repayment made to individual,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
20,outflow,send only,0,0.0,0.0,0.0,"Nonfederal disbursement - nonfederal party ""soft money"" accounts (1991-2002)","CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
20R,outflow,send only,0,0.0,0.0,0.0,Loan repayment made to registered filer,"CMTE_ID sent -> sender=CMTE_ID, recipient=OTHER_ID"
18G,inflow,send only,12489,612975314.0,108935262.0,0.0,Transfer in from affiliated committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
16C,inflow,send only,3748,282782585.0,0.0,0.0,Loan received from the candidate,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
18K,inflow,send only,31854,198353726.0,118764588.0,0.0,Contribution received from registered filer,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
32G,inflow,send only,242,31237880.0,549108.0,0.0,Recount Account - transfer in from affiliated committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
31G,inflow,send only,228,27290920.0,844316.0,0.0,Headquarters Account - transfer in from affiliated committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
31K,inflow,send only,467,13958911.0,6836661.0,0.0,Headquarters Account receipt from registered filer,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
32K,inflow,send only,331,13572384.0,1986100.0,0.0,Recount Account receipt from registered filer,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
30K,inflow,send only,26,2590271.0,1070000.0,0.0,Convention Account receipt from registered filer,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
30G,inflow,send only,4,2406457.0,0.0,0.0,Convention Account - transfer in from affiliated committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
16G,inflow,send only,87,1476209.0,0.0,0.0,Loan from individual,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
15Z,inflow,send only,439,752524.0,115311.0,0.0,In-kind contribution received from registered filer,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
18U,inflow,send only,2,10000.0,0.0,0.0,Contribution received from unregistered committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
13,inflow,send only,0,0.0,0.0,0.0,Inaugural donation accepted,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
16F,inflow,send only,0,0.0,0.0,0.0,Loan received from bank,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
16R,inflow,send only,0,0.0,0.0,0.0,,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
17R,inflow,send only,0,0.0,0.0,0.0,Contribution refund received from registered entity,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
17Z,inflow,send only,0,0.0,0.0,0.0,Refund/Rebate/Return from candidate or committee,"CMTE_ID received -> sender=OTHER_ID, recipient=CMTE_ID"
24E,candidate-directed,send + receive,9274,349601007.0,0.0,52547134.0,Independent expenditure advocating election of candidate,"OTHER_ID is a CANDIDATE, not a committee. Feeds BOTH pipelines: send attributes from the paying committee's catcode, and receive attributes from the recipient candidate's congressional committee seats. 98.2% of these rows (matched by SUB_ID) also appear in fec_pac_to_cand_current, which supplies most candidate money; the cross-source dedupe removes the overlap."
24A,candidate-directed,send + receive,2454,203129728.0,0.0,23182998.0,Independent expenditure opposing election of candidate,"OTHER_ID is a CANDIDATE, not a committee. Feeds BOTH pipelines: send attributes from the paying committee's catcode, and receive attributes from the recipient candidate's congressional committee seats. 98.2% of these rows (matched by SUB_ID) also appear in fec_pac_to_cand_current, which supplies most candidate money; the cross-source dedupe removes the overlap."
24C,candidate-directed,send + receive,40,3573511.0,0.0,510557.0,Coordinated party expenditure,"OTHER_ID is a CANDIDATE, not a committee. Feeds BOTH pipelines: send attributes from the paying committee's catcode, and receive attributes from the recipient candidate's congressional committee seats. 98.2% of these rows (matched by SUB_ID) also appear in fec_pac_to_cand_current, which supplies most candidate money; the cross-source dedupe removes the overlap."
