state,office,districts,primary_date,runoff_date,note
AR,,,2026-03-03,2026-03-31,
NC,,,2026-03-03,2026-05-12,
TX,,,2026-03-03,2026-05-26,
MS,,,2026-03-10,2026-04-07,
IL,,,2026-03-17,,
IN,,,2026-05-05,,nominations may be made by convention
OH,,,2026-05-05,,
NE,,,2026-05-12,,
WV,,,2026-05-12,,nominations may be made by convention
LA,S,,2026-05-16,2026-06-27,
AL,,"3,4,5",2026-05-19,2026-06-16,
ID,,,2026-05-19,,
GA,,,2026-05-19,2026-06-16,
KY,,,2026-05-19,,
OR,,,2026-05-19,,
PA,,,2026-05-19,,
CA,,,2026-06-02,,
IA,,,2026-06-02,,
MT,,,2026-06-02,,
NJ,,,2026-06-02,,
NM,,,2026-06-02,,
SD,,,2026-06-02,2026-07-28,nominations may be made by convention
ME,,,2026-06-09,,
NV,,,2026-06-09,,
ND,,,2026-06-09,,
SC,,,2026-06-09,2026-06-23,nominations may be made by convention
DC,,,2026-06-16,,
OK,,,2026-06-16,2026-08-25,
MD,,,2026-06-23,,
NY,,,2026-06-23,,
UT,,,2026-06-23,,party conventions precede the primary
CO,,,2026-06-30,,
AZ,,,2026-07-21,,
GU,,,2026-08-01,,
VI,,,2026-08-01,2026-11-17,
KS,,,2026-08-04,,nominations may be made by convention
MI,,,2026-08-04,,nominations may be made by convention
MO,,,2026-08-04,,
VA,,,2026-08-04,,parties may nominate by convention
WA,,,2026-08-04,,
TN,,,2026-08-06,,
HI,,,2026-08-08,,
AL,,"1,2,6,7",2026-08-11,,
CT,,,2026-08-11,,party conventions precede the primary
MN,,,2026-08-11,,
VT,,,2026-08-11,,
WI,,,2026-08-11,,
AK,,,2026-08-18,,
FL,,,2026-08-18,,
WY,,,2026-08-18,,nominations may be made by convention
MA,,,2026-09-01,,
NH,,,2026-09-08,,
RI,,,2026-09-09,,
DE,,,2026-09-15,,
LA,H,,2026-11-03,2026-12-12,House elections postponed to 11/3 after Louisiana v. Callais
AS,,,,,no federal primary
MP,,,,,no federal primary
PR,,,,,no federal primary
