newsletter,rank,committee,subcommittee,tier,code,note
Agri-Food,1,House Committee on Agriculture,,1,HSAG,
Agri-Food,2,"Senate Committee on Agriculture, Nutrition, and Forestry",,1,SSAF,
Agri-Food,3,House Committee on Agriculture,"General Farm Commodities, Risk Management, and Credit",1,HSAG16,
Agri-Food,4,"Senate Committee on Agriculture, Nutrition, and Forestry","Livestock, Dairy, Poultry, and Food Safety",1,SSAF17,
Agri-Food,5,House Committee on Agriculture,"Livestock, Dairy, and Poultry",1,HSAG29,
Agri-Food,6,"Senate Committee on Agriculture, Nutrition, and Forestry","Food and Nutrition, Specialty Crops, Organics, and Research",1,SSAF16,
Agri-Food,7,House Committee on Agriculture,Nutrition and Foreign Agriculture,1,HSAG03,
Agri-Food,8,"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Derivatives, Risk Management, and Trade",2,SSAF13,
Agri-Food,9,House Committee on Agriculture,"Commodity Markets, Digital Assets, and Rural Development",2,HSAG22,
Agri-Food,10,"Senate Committee on Agriculture, Nutrition, and Forestry","Conservation, Forestry, Natural Resources, and Biotechnology",2,SSAF14,
Agri-Food,11,House Committee on Agriculture,"Conservation, Research, and Biotechnology",2,HSAG14,
Agri-Food,12,House Committee on Agriculture,Forestry and Horticulture,2,HSAG15,
Agri-Food,13,"Senate Committee on Agriculture, Nutrition, and Forestry","Rural Development, Energy, and Credit",3,SSAF15,
Agri-Food,14,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",3,HSAP01,funds USDA and FDA; no authorising jurisdiction
Agri-Food,15,Senate Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",3,SSAP01,funds USDA and FDA; no authorising jurisdiction
Agri-Food,16,House Committee on Small Business,"Rural Development, Energy, and Supply Chains",4,HSSM21,
Agri-Food,17,House Committee on Natural Resources,"Water, Wildlife and Fisheries",4,HSII13,"wildlife and water remit, not food policy -- weakest route in"
Agri-Food,18,Senate Committee on Environment and Public Works,"Fisheries, Wildlife, and Water",4,SSEV15,"wildlife and water remit, not food policy -- weakest route in"
Automotive,1,House Committee on Transportation and Infrastructure,,1,HSPW,
Automotive,2,House Committee on Transportation and Infrastructure,Highways and Transit,1,HSPW12,
Automotive,3,"Senate Committee on Commerce, Science, and Transportation","Surface Transportation, Freight, Pipelines, and Safety",1,SSCM38,
Automotive,4,"Senate Committee on Commerce, Science, and Transportation",,2,SSCM,
Automotive,5,Senate Committee on Environment and Public Works,Transportation and Infrastructure,2,SSEV08,
Construction & Housing,1,"Senate Committee on Banking, Housing, and Urban Affairs",,1,SSBK,
Construction & Housing,2,House Committee on Financial Services,Housing and Insurance,1,HSBA04,
Construction & Housing,3,"Senate Committee on Banking, Housing, and Urban Affairs","Housing, Transportation, and Community Development",1,SSBK09,
Construction & Housing,4,House Committee on Transportation and Infrastructure,"Economic Development, Public Buildings, and Emergency Management",2,HSPW13,
Construction & Housing,5,Senate Committee on Environment and Public Works,Transportation and Infrastructure,2,SSEV08,
Construction & Housing,6,House Committee on Transportation and Infrastructure,Highways and Transit,3,HSPW12,
Construction & Housing,7,House Committee on Small Business,Contracting and Infrastructure,3,HSSM23,
Construction & Housing,8,House Committee on Appropriations,"Transportation, Housing and Urban Development, and Related Agencies",3,HSAP20,
Construction & Housing,9,Senate Committee on Appropriations,"Transportation, Housing and Urban Development, and Related Agencies",3,SSAP24,
Defense,1,House Committee on Armed Services,,1,HSAS,
Defense,2,Senate Committee on Armed Services,,1,SSAS,
Defense,3,House Committee on Armed Services,Tactical Air and Land Forces,1,HSAS25,
Defense,4,House Committee on Armed Services,Seapower and Projection Forces,1,HSAS28,
Defense,5,House Committee on Armed Services,Strategic Forces,1,HSAS29,
Defense,6,House Committee on Armed Services,Readiness,1,HSAS03,
Defense,7,House Committee on Armed Services,Military Personnel,1,HSAS02,
Defense,8,House Committee on Armed Services,Intelligence and Special Operations,1,HSAS26,
Defense,9,Senate Committee on Armed Services,Airland,1,SSAS14,
Defense,10,Senate Committee on Armed Services,Seapower,1,SSAS13,
Defense,11,Senate Committee on Armed Services,Strategic Forces,1,SSAS16,
Defense,12,Senate Committee on Armed Services,Readiness and Management Support,1,SSAS15,
Defense,13,Senate Committee on Armed Services,Personnel,1,SSAS17,
Defense,14,Senate Committee on Armed Services,Emerging Threats and Capabilities,1,SSAS20,
Defense,15,House Committee on Appropriations,Defense,2,HSAP02,funds the entire department; the single largest defence purse
Defense,16,Senate Committee on Appropriations,Department of Defense,2,SSAP02,funds the entire department; the single largest defence purse
Defense,17,House Permanent Select Committee on Intelligence,Defense Intelligence and Overhead Architecture,2,HLIG04,
Defense,18,House Permanent Select Committee on Intelligence,Central Intelligence Agency,2,HLIG01,
Defense,19,House Permanent Select Committee on Intelligence,National Security Agency and Cyber,2,HLIG02,
Defense,20,House Permanent Select Committee on Intelligence,National Intelligence Enterprise,2,HLIG06,
Defense,21,House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,,3,HSZS,
Defense,22,House Committee on Transportation and Infrastructure,Coast Guard and Maritime Transportation,3,HSPW07,
Defense,23,"Senate Committee on Commerce, Science, and Transportation","Coast Guard, Maritime, and Fisheries",3,SSCM36,
Defense,24,House Committee on Appropriations,"National Security, Department of State, and Related Programs",3,HSAP04,
Defense,25,Senate Committee on Appropriations,"State, Foreign Operations, and Related Programs",3,SSAP20,
Defense,26,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",3,HSAP18,
Defense,27,Senate Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",3,SSAP19,
Defense,28,House Committee on Oversight and Government Reform,Military and Foreign Affairs,3,HSGO06,
Environment,1,Senate Committee on Environment and Public Works,,1,SSEV,
Environment,2,House Committee on Natural Resources,,1,HSII,
Environment,3,House Committee on Energy and Commerce,Environment,1,HSIF18,
Environment,4,Senate Committee on Environment and Public Works,"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",1,SSEV09,
Environment,5,Senate Committee on Environment and Public Works,"Clean Air, Climate, and Nuclear Innovation and Safety",1,SSEV10,
Environment,6,House Committee on Transportation and Infrastructure,Water Resources and Environment,1,HSPW02,
Environment,7,Senate Committee on Environment and Public Works,"Fisheries, Wildlife, and Water",1,SSEV15,
Environment,8,House Committee on Natural Resources,"Water, Wildlife and Fisheries",1,HSII13,
Environment,9,Senate Committee on Energy and Natural Resources,,2,SSEG,
Environment,10,House Committee on Natural Resources,Federal Lands,2,HSII10,
Environment,11,Senate Committee on Energy and Natural Resources,"Public Lands, Forests, and Mining",2,SSEG03,
Environment,12,Senate Committee on Energy and Natural Resources,National Parks,2,SSEG04,
Environment,13,"House Committee on Science, Space, and Technology",Environment,2,HSSY18,
Environment,14,"Senate Committee on Agriculture, Nutrition, and Forestry","Conservation, Forestry, Natural Resources, and Biotechnology",2,SSAF14,
Environment,15,House Committee on Agriculture,Forestry and Horticulture,3,HSAG15,
Environment,16,"Senate Committee on Commerce, Science, and Transportation","Coast Guard, Maritime, and Fisheries",3,SSCM36,
Environment,17,"Senate Committee on Commerce, Science, and Transportation","Surface Transportation, Freight, Pipelines, and Safety",3,SSCM38,
Environment,18,House Committee on Appropriations,Energy and Water Development and Related Agencies,4,HSAP10,energy and water construction; environment is incidental
Environment,19,Senate Committee on Foreign Relations,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",4,SSFR15,international environmental policy only
Environment,20,"Senate Committee on Commerce, Science, and Transportation",,4,SSCM,
Finance & Insurance,1,House Committee on Financial Services,,1,HSBA,
Finance & Insurance,2,"Senate Committee on Banking, Housing, and Urban Affairs",,1,SSBK,
Finance & Insurance,3,Senate Committee on Finance,,1,SSFI,
Finance & Insurance,4,House Committee on Financial Services,Capital Markets,1,HSBA16,
Finance & Insurance,5,House Committee on Financial Services,Financial Institutions,1,HSBA20,
Finance & Insurance,6,"Senate Committee on Banking, Housing, and Urban Affairs","Securities, Insurance, and Investment",1,SSBK04,
Finance & Insurance,7,"Senate Committee on Banking, Housing, and Urban Affairs",Financial Institutions and Consumer Protection,1,SSBK08,
Finance & Insurance,8,House Committee on Ways and Means,Tax,1,HSWM05,
Finance & Insurance,9,Senate Committee on Finance,Taxation and IRS Oversight,1,SSFI11,
Finance & Insurance,10,House Committee on Financial Services,"Digital Assets, Financial Technology, and Artificial Intelligence",1,HSBA21,
Finance & Insurance,11,"Senate Committee on Banking, Housing, and Urban Affairs",Digital Assets,1,SSBK13,
Finance & Insurance,12,House Committee on Financial Services,Housing and Insurance,2,HSBA04,
Finance & Insurance,13,"Senate Committee on Banking, Housing, and Urban Affairs",Economic Policy,2,SSBK12,
Finance & Insurance,14,Senate Committee on Finance,Fiscal Responsibility and Economic Growth,2,SSFI14,
Finance & Insurance,15,House Committee on Financial Services,"National Security, Illicit Finance, and International Financial Institutions",2,HSBA10,
Finance & Insurance,16,"Senate Committee on Banking, Housing, and Urban Affairs",National Security and International Trade and Finance,2,SSBK05,
Finance & Insurance,17,Senate Committee on the Judiciary,"Antitrust, Competition Policy, and Consumer Rights",3,SSJU01,
Finance & Insurance,18,House Committee on the Judiciary,"The Administrative State, Regulatory Reform, and Antitrust",3,HSJU05,
Finance & Insurance,19,House Committee on Agriculture,"General Farm Commodities, Risk Management, and Credit",3,HSAG16,crop insurance and farm credit
Finance & Insurance,20,House Committee on Agriculture,"Commodity Markets, Digital Assets, and Rural Development",3,HSAG22,
Finance & Insurance,21,"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Derivatives, Risk Management, and Trade",3,SSAF13,agricultural derivatives and CFTC-adjacent markets
Finance & Insurance,22,"Senate Committee on Agriculture, Nutrition, and Forestry","Rural Development, Energy, and Credit",4,SSAF15,
Finance & Insurance,23,House Committee on Oversight and Government Reform,Health Care and Financial Services,4,HSGO27,
Finance & Insurance,24,House Committee on Financial Services,Oversight and Investigations,4,HSBA09,
Finance & Insurance,25,House Committee on Oversight and Government Reform,"Cybersecurity, Information Technology, and Government Innovation",4,HSGO12,
Finance & Insurance,26,House Committee on Oversight and Government Reform,"Economic Growth, Energy Policy, and Regulatory Affairs",4,HSGO05,"regulatory oversight, not financial jurisdiction"
Finance & Insurance,27,House Committee on Energy and Commerce,"Commerce, Manufacturing, and Trade",4,HSIF17,consumer commerce; the finance link is thin
Fisheries,1,"Senate Committee on Commerce, Science, and Transportation","Coast Guard, Maritime, and Fisheries",1,SSCM36,
Fisheries,2,House Committee on Natural Resources,"Water, Wildlife and Fisheries",1,HSII13,
Fisheries,3,Senate Committee on Environment and Public Works,"Fisheries, Wildlife, and Water",1,SSEV15,
Foreign Affairs,1,House Committee on Foreign Affairs,,1,HSFA,
Foreign Affairs,2,Senate Committee on Foreign Relations,,1,SSFR,
Foreign Affairs,3,Senate Committee on Foreign Relations,Europe and Regional Security Cooperation,1,SSFR01,
Foreign Affairs,4,House Committee on Foreign Affairs,Europe,1,HSFA14,
Foreign Affairs,5,Senate Committee on Foreign Relations,"Near East, South Asia, Central Asia, and Counterterrorism",1,SSFR07,
Foreign Affairs,6,House Committee on Foreign Affairs,Middle East and North Africa,1,HSFA13,
Foreign Affairs,7,Senate Committee on Foreign Relations,"East Asia, the Pacific, and International Cybersecurity Policy",1,SSFR02,
Foreign Affairs,8,House Committee on Foreign Affairs,East Asia and Pacific,1,HSFA05,
Foreign Affairs,9,Senate Committee on Foreign Relations,"State Department and USAID Management, International Operations, and Bilateral International Development",1,SSFR14,
Foreign Affairs,10,House Committee on Foreign Affairs,Western Hemisphere,2,HSFA07,
Foreign Affairs,11,Senate Committee on Foreign Relations,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",2,SSFR06,
Foreign Affairs,12,House Committee on Foreign Affairs,Africa,2,HSFA16,
Foreign Affairs,13,Senate Committee on Foreign Relations,Africa and Global Health Policy,2,SSFR09,
Foreign Affairs,14,House Committee on Foreign Affairs,South and Central Asia,2,HSFA19,
Foreign Affairs,15,Senate Committee on Foreign Relations,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",2,SSFR15,
Foreign Affairs,16,House Committee on Foreign Affairs,"Global Health, Global Human Rights, and International Organizations",2,HSFA06,
Foreign Affairs,17,House Committee on Foreign Affairs,Oversight and Intelligence,3,HSFA17,
Freight & Transport,1,House Committee on Transportation and Infrastructure,,1,HSPW,
Freight & Transport,2,"Senate Committee on Commerce, Science, and Transportation","Surface Transportation, Freight, Pipelines, and Safety",1,SSCM38,
Freight & Transport,3,House Committee on Transportation and Infrastructure,Aviation,1,HSPW05,
Freight & Transport,4,"Senate Committee on Commerce, Science, and Transportation","Aviation, Space, and Innovation",1,SSCM33,
Freight & Transport,5,House Committee on Transportation and Infrastructure,Coast Guard and Maritime Transportation,1,HSPW07,
Freight & Transport,6,"Senate Committee on Commerce, Science, and Transportation","Coast Guard, Maritime, and Fisheries",2,SSCM36,
Freight & Transport,7,House Committee on Homeland Security,Transportation and Maritime Security,2,HSHM07,
Freight & Transport,8,House Committee on Ways and Means,Trade,3,HSWM04,"tariff policy, not logistics -- largest route into the channel and the least transport-like"
Freight & Transport,9,Senate Committee on Finance,"International Trade, Customs, and Global Competitiveness",3,SSFI13,"customs and tariff policy, not logistics"
Freight & Transport,10,"Senate Committee on Commerce, Science, and Transportation","Tourism, Trade, and Export Promotion",3,SSCM39,trade promotion; no sitting members hold this code
Healthcare,1,"Senate Committee on Health, Education, Labor, and Pensions",,1,SSHR,
Healthcare,2,House Committee on Energy and Commerce,Health,1,HSIF14,
Healthcare,3,House Committee on Ways and Means,Health,1,HSWM02,
Healthcare,4,Senate Committee on Finance,Health Care,1,SSFI10,
Healthcare,5,"Senate Committee on Health, Education, Labor, and Pensions",Primary Health and Retirement Security,1,SSHR12,
Healthcare,6,House Committee on Veterans' Affairs,Health,2,HSVR03,
Healthcare,7,Senate Special Committee on Aging,,2,SPAG,
Higher Ed,1,House Committee on Education and Workforce,,1,HSED,
Higher Ed,2,"Senate Committee on Health, Education, Labor, and Pensions",,1,SSHR,
Higher Ed,3,House Committee on Education and Workforce,Higher Education and Workforce Development,1,HSED13,
Higher Ed,4,"Senate Committee on Health, Education, Labor, and Pensions",Education and the American Family,1,SSHR09,
Higher Ed,5,House Committee on Education and Workforce,"Early Childhood, Elementary, and Secondary Education",2,HSED14,
Higher Ed,6,House Committee on Small Business,"Innovation, Entrepreneurship, and Workforce Development",3,HSSM22,workforce development through a small-business lens
Higher Ed,7,House Committee on Small Business,,4,HSSM,
Hospitality & Retail,1,House Committee on Energy and Commerce,"Commerce, Manufacturing, and Trade",1,HSIF17,
Hospitality & Retail,2,Senate Committee on Small Business and Entrepreneurship,,2,SSSB,
ICT & Cybersecurity,1,"House Committee on Science, Space, and Technology",,1,HSSY,
ICT & Cybersecurity,2,House Committee on Energy and Commerce,Communications and Technology,1,HSIF16,
ICT & Cybersecurity,3,"Senate Committee on Commerce, Science, and Transportation",Telecommunications and Media,1,SSCM34,
ICT & Cybersecurity,4,"Senate Committee on Commerce, Science, and Transportation","Consumer Protection, Technology, and Data Privacy",1,SSCM35,
ICT & Cybersecurity,5,House Committee on Oversight and Government Reform,"Cybersecurity, Information Technology, and Government Innovation",1,HSGO12,
ICT & Cybersecurity,6,House Committee on Homeland Security,Cybersecurity and Infrastructure Protection,1,HSHM08,
ICT & Cybersecurity,7,Senate Committee on Armed Services,Cybersecurity,1,SSAS21,
ICT & Cybersecurity,8,House Committee on Armed Services,"Cyber, Information Technologies, and Innovation",1,HSAS35,
ICT & Cybersecurity,9,House Committee on the Judiciary,"Courts, Intellectual Property, Artificial Intelligence, and the Internet",1,HSJU03,
ICT & Cybersecurity,10,Senate Committee on the Judiciary,"Privacy, Technology, and the Law",1,SSJU28,
ICT & Cybersecurity,11,Senate Committee on the Judiciary,Intellectual Property,1,SSJU26,
ICT & Cybersecurity,12,"House Committee on Science, Space, and Technology",Research and Technology,1,HSSY15,
ICT & Cybersecurity,13,House Permanent Select Committee on Intelligence,National Security Agency and Cyber,1,HLIG02,
ICT & Cybersecurity,14,House Committee on Financial Services,"Digital Assets, Financial Technology, and Artificial Intelligence",2,HSBA21,
ICT & Cybersecurity,15,"Senate Committee on Banking, Housing, and Urban Affairs",Digital Assets,2,SSBK13,
ICT & Cybersecurity,16,House Permanent Select Committee on Intelligence,Open Source Intelligence,2,HLIG11,
ICT & Cybersecurity,17,Senate Committee on Armed Services,Emerging Threats and Capabilities,2,SSAS20,
ICT & Cybersecurity,18,House Committee on Homeland Security,Emergency Management and Technology,2,HSHM12,
ICT & Cybersecurity,19,"House Committee on Science, Space, and Technology",Space and Aeronautics,2,HSSY16,
ICT & Cybersecurity,20,"Senate Committee on Commerce, Science, and Transportation","Aviation, Space, and Innovation",2,SSCM33,
ICT & Cybersecurity,21,House Committee on Veterans' Affairs,Technology Modernization,2,HSVR11,
ICT & Cybersecurity,22,House Committee on House Administration,Modernization and Innovation,2,HSHA27,
ICT & Cybersecurity,23,Senate Committee on the Judiciary,"Antitrust, Competition Policy, and Consumer Rights",2,SSJU01,
ICT & Cybersecurity,24,Senate Committee on Foreign Relations,"East Asia, the Pacific, and International Cybersecurity Policy",2,SSFR02,
Manufacturing,1,"Senate Committee on Commerce, Science, and Transportation","Science, Manufacturing, and Competitiveness",1,SSCM37,
Manufacturing,2,House Committee on Energy and Commerce,"Commerce, Manufacturing, and Trade",1,HSIF17,
Manufacturing,3,"Senate Committee on Commerce, Science, and Transportation",,2,SSCM,
Manufacturing,4,House Committee on Ways and Means,Trade,2,HSWM04,
Manufacturing,5,House Committee on Small Business,"Rural Development, Energy, and Supply Chains",3,HSSM21,
Manufacturing,6,House Committee on Small Business,"Innovation, Entrepreneurship, and Workforce Development",3,HSSM22,
Mining,1,House Committee on Natural Resources,Energy and Mineral Resources,1,HSII06,
Mining,2,Senate Committee on Energy and Natural Resources,"Public Lands, Forests, and Mining",1,SSEG03,
Mining,3,Senate Committee on Finance,"Energy, Natural Resources, and Infrastructure",3,SSFI12,"mineral taxation, not mining policy -- majority of the channel arrives through this row alone"
Oil & Gas,1,House Committee on Energy and Commerce,Energy,1,HSIF03,
Oil & Gas,2,Senate Committee on Energy and Natural Resources,Energy,1,SSEG01,
Oil & Gas,3,House Committee on Natural Resources,Energy and Mineral Resources,1,HSII06,
Oil & Gas,4,House Committee on Transportation and Infrastructure,"Railroads, Pipelines, and Hazardous Materials",2,HSPW14,
Oil & Gas,5,"House Committee on Science, Space, and Technology",Energy,2,HSSY20,
Oil & Gas,6,Senate Committee on Appropriations,Energy and Water Development,3,SSAP22,
Oil & Gas,7,Senate Committee on Finance,"Energy, Natural Resources, and Infrastructure",3,SSFI12,energy taxation
Oil & Gas,8,House Committee on Small Business,"Rural Development, Energy, and Supply Chains",4,HSSM21,rural energy through a small-business lens
Oil & Gas,9,House Committee on Oversight and Government Reform,"Economic Growth, Energy Policy, and Regulatory Affairs",4,HSGO05,regulatory oversight of energy policy
Social Issues,1,House Committee on the Judiciary,The Constitution and Limited Government,1,HSJU10,
Social Issues,2,Senate Committee on the Judiciary,the Constitution,1,SSJU21,
Social Issues,3,Senate Committee on the Judiciary,Human Rights and the Law,1,SSJU27,
Social Issues,4,House Committee on Ways and Means,Work and Welfare,1,HSWM03,
Social Issues,5,House Committee on Ways and Means,Social Security,1,HSWM01,
Social Issues,6,House Committee on Education and Workforce,Workforce Protections,1,HSED10,
Social Issues,7,"Senate Committee on Health, Education, Labor, and Pensions",Employment and Workplace Safety,1,SSHR11,
Social Issues,8,House Committee on Education and Workforce,"Health, Employment, Labor, and Pensions",1,HSED02,
Social Issues,9,House Committee on the Judiciary,"Immigration Integrity, Security, and Enforcement",1,HSJU01,
Social Issues,10,Senate Committee on the Judiciary,Border Security and Immigration,1,SSJU04,
Social Issues,11,House Committee on House Administration,Elections,1,HSHA08,
Social Issues,12,House Committee on Education and Workforce,,2,HSED,
Social Issues,13,"Senate Committee on Health, Education, Labor, and Pensions",,2,SSHR,
Social Issues,14,House Committee on Education and Workforce,"Early Childhood, Elementary, and Secondary Education",2,HSED14,
Social Issues,15,"Senate Committee on Health, Education, Labor, and Pensions",Education and the American Family,2,SSHR09,
Social Issues,16,House Committee on Natural Resources,Indian and Insular Affairs,2,HSII24,
Social Issues,17,House Committee on Veterans' Affairs,Disability Assistance and Memorial Affairs,2,HSVR09,
Social Issues,18,Senate Committee on the Judiciary,"Federal Courts, Oversight, Agency Action, and Federal Rights",2,SSJU25,
Tribal Affairs,1,Senate Committee on Indian Affairs,,1,SLIA,
Tribal Affairs,2,House Committee on Natural Resources,Indian and Insular Affairs,1,HSII24,
Tribal Affairs,3,House Committee on Natural Resources,,2,HSII,
Tribal Affairs,4,House Committee on Natural Resources,Federal Lands,3,HSII10,"federal lands overlap tribal land, but this is not the tribal subcommittee -- most of the channel arrives here"
Utilities & Power,1,Senate Committee on Energy and Natural Resources,Water and Power,1,SSEG07,
Utilities & Power,2,House Committee on Energy and Commerce,Energy,1,HSIF03,
Utilities & Power,3,Senate Committee on Energy and Natural Resources,Energy,1,SSEG01,
Utilities & Power,4,Senate Committee on Environment and Public Works,"Clean Air, Climate, and Nuclear Innovation and Safety",1,SSEV10,
Utilities & Power,5,House Committee on Transportation and Infrastructure,"Railroads, Pipelines, and Hazardous Materials",2,HSPW14,
Utilities & Power,6,"House Committee on Science, Space, and Technology",Energy,2,HSSY20,
Utilities & Power,7,House Committee on Natural Resources,Energy and Mineral Resources,2,HSII06,
Utilities & Power,8,House Committee on Transportation and Infrastructure,Water Resources and Environment,2,HSPW02,
Utilities & Power,9,Senate Committee on Environment and Public Works,"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",2,SSEV09,
Utilities & Power,10,House Committee on Appropriations,Energy and Water Development and Related Agencies,2,HSAP10,
Utilities & Power,11,Senate Committee on Appropriations,Energy and Water Development,2,SSAP22,
Utilities & Power,12,"Senate Committee on Agriculture, Nutrition, and Forestry","Rural Development, Energy, and Credit",3,SSAF15,rural electrification
Utilities & Power,13,House Committee on Homeland Security,Emergency Management and Technology,3,HSHM12,grid and infrastructure resilience
Utilities & Power,14,House Committee on Transportation and Infrastructure,"Economic Development, Public Buildings, and Emergency Management",3,HSPW13,
Utilities & Power,15,Senate Committee on Homeland Security and Governmental Affairs,"Disaster Management, District of Columbia, and Census",3,SSGA20,disaster response to utility outages
